"journal","discipline","fullTitle"
"Genes Chromosomes Cancer","Neoplasms","Genes, chromosomes &cancer"
"Genes Dev","Molecular Biology","Genes &development"
"Genes Genet Syst","Genetics","Genes &genetic systems"
"Genesis","Molecular Biology","Genesis (New York, N.Y. : 2000)"
"Genet Epidemiol","Genetics","Genetic epidemiology"
"Genet Med","Medicine","Genetics in medicine : official journal of the American College of Medical Genetics"
"Genet Mol Res","Genetics","Genetics and molecular research : GMR"
"Genet Res","Genetics","Genetical research"
"Genet Res (Camb)","Genetics","Genetics research"
"Genet Sel Evol","Genetics","Genetics, selection, evolution : GSE"
"Genet Test","Genetics","Genetic testing"
"Genet Test Mol Biomarkers","Genetics","Genetic testing and molecular biomarkers"
"Genetica","Genetics","Genetica"
"Genetics","Genetics","Genetics"
"Genome","Genetics","Genome / National Research Council Canada = Génome / Conseil national de recherches Canada"
"Genome Biol","Genetics","Genome biology"
"Genome Biol Evol","Computational Biology","Genome biology and evolution"
"Genome Inform","Computational Biology","Genome informatics. International Conference on Genome Informatics"
"Genome Med","Medicine","Genome medicine"
"Genome Res","Genetics","Genome research"
"Genomics","Genetics","Genomics"
"Genomics Proteomics Bioinformatics","Bioinformatics","Genomics, proteomics &bioinformatics"
"Geospat Health","Environmental Health","Geospatial health"
"Ger Med Sci","Medicine","German medical science : GMS e-journal"
"Geriatr Gerontol Int","Geriatrics","Geriatrics &gerontology international"
"Geriatr Nurs","Nursing","Geriatric nursing (New York, N.Y.)"
"Geriatr Psychol Neuropsychiatr Vieil","Neurology","Gériatrie et psychologie neuropsychiatrie du vieillissement"
"Geriatrics","Geriatrics","Geriatrics"
"Gerodontology","Dentistry","Gerodontology"
"Gerontol Geriatr Educ","Unclassified","Gerontology &geriatrics education"
"Gerontologist","Geriatrics","The Gerontologist"
"Gerontology","Geriatrics","Gerontology"
"Gesnerus","History of Medicine","Gesnerus"
"Ghana Med","Medicine","Ghana medical journal"
"Gig Sanit","Public Health","Gigiena i sanitariia"
"Gigascience","Medical Informatics","GigaScience"
"Ginecol Obstet Mex","Gynecology","Ginecología y obstetricia de México"
"Ginekol Pol","Gynecology","Ginekologia polska"
"Glia","Neurology","Glia"
"Glob Chang Biol","Biology","Global change biology"
"Glob Health Action","Public Health","Global health action"
"Glob Health Promot","Medicine","Global health promotion"
"Glob Health Sci Pract","Public Health","Global health, science and practice"
"Glob Heart","Cardiology","Global heart"
"Glob J Health Sci","Medicine","Global journal of health science"
"Glob Public Health","Public Health","Global public health"
"Global Health","Medicine","Globalization and health"
"Glycobiology","Biochemistry","Glycobiology"
"GM Crops Food","Unclassified","GM crops &food"
"GMHC Treat Issues","Unclassified","GMHC treatment issues : the Gay Men's Health Crisis newsletter of experimental AIDS therapies"
"GMS Z Med Ausbild","Medicine","GMS Zeitschrift für medizinische Ausbildung"
"Graefes Arch Clin Exp Ophthalmol","Ophthalmology","Graefe's archive for clinical and experimental ophthalmology = Albrecht von Graefes Archiv für klinische und experimentelle Ophthalmologie"
"Ground Water","Unclassified","Ground water"
"Growth Factors","Biology","Growth factors (Chur, Switzerland)"
"Growth Horm IGF Res","Endocrinology","Growth hormone &IGF research : official journal of the Growth Hormone Research Society and the International IGF Research Society"
"Grudn Khir","General Surgery","Grudnaia khirurgiia (Moscow, Russia)"
"Guang Pu Xue Yu Guang Pu Fen Xi","Chemistry Techniques, Analytical","Guang pu xue yu guang pu fen xi = Guang pu"
"Gut","Gastroenterology","Gut"
"Gut Liver","Gastroenterology","Gut and liver"
"Gut Microbes","Microbiology","Gut microbes"
"Gynakol Geburtshilfliche Rundsch","Obstetrics","Gynäkologisch-geburtshilfliche Rundschau"
"Gynecol Endocrinol","Gynecology","Gynecological endocrinology : the official journal of the International Society of Gynecological Endocrinology"
"Gynecol Obstet Invest","Gynecology","Gynecologic and obstetric investigation"
"Gynecol Oncol","Gynecology","Gynecologic oncology"
"Haematologica","Hematology","Haematologica"
"Hand Clin","Orthopedics","Hand clinics"
"Hand Surg","General Surgery","Hand surgery : an international journal devoted to hand and upper limb surgery and related research : journal of the Asia-Pacific Federation of Societies for Surgery of the Hand"
"Handb Clin Neurol","Neurology","Handbook of clinical neurology"
"Handb Exp Pharmacol","Pharmacology","Handbook of experimental pharmacology"
"Harefuah","Medicine","Harefuah"
"Harm Reduct","Unclassified","Harm reduction journal"
"Harv Bus Rev","Health Services","Harvard business review"
"Harv Health Lett","Medicine","Harvard health letter / from Harvard Medical School"
"Harv Heart Lett","Cardiology","Harvard heart letter : from Harvard Medical School"
"Harv Mens Health Watch","Medicine","Harvard men's health watch"
"Harv Ment Health Lett","Psychology","The Harvard mental health letter / from Harvard Medical School"
"Harv Rev Psychiatry","Psychiatry","Harvard review of psychiatry"
"Harv Womens Health Watch","Women's Health","Harvard women's health watch"
"Hastings Cent Rep","Medicine","The Hastings Center report"
"Hawaii Dent","Dentistry","Hawaii dental journal"
"Hawaii J Med Public Health","Public Health","Hawai'i journal of medicine &public health : a journal of Asia Pacific Medicine &Public Health"
"Hawaii Med","Medicine","Hawaii medical journal"
"HDA Now","Dentistry","HDA now / Hawaii Dental Association"
"Head Face Med","Medicine","Head &face medicine"
"Head Neck","Medicine","Head &neck"
"Head Neck Oncol","Neoplasms","Head &neck oncology"
"Head Neck Pathol","Medicine","Head and neck pathology"
"Headache","Neurology","Headache"
"Health (London)","Health Services","Health (London, England : 1997)"
"Health Aff (Millwood)","Public Health","Health affairs (Project Hope)"
"Health Care Anal","Public Health","Health care analysis : HCA : journal of health philosophy and policy"
"Health Care Financ Rev","Health Services","Health care financing review"
"Health Care Law Mon","Medicine","Health care law monthly"
"Health Care Manag (Frederick)","Health Services","The health care manager"
"Health Care Manag Sci","Health Services","Health care management science"
"Health Care Manage Rev","Health Services","Health care management review"
"Health Care Strateg Manage","Health Services","Health care strategic management"
"Health Care Women Int","Gynecology","Health care for women international"
"Health Commun","Medicine","Health communication"
"Health Data Manag","Health Services","Health data management"
"Health Econ","Health Services","Health economics"
"Health Econ Policy Law","Public Health","Health economics, policy, and law"
"Health Educ Behav","Medicine","Health education &behavior : the official publication of the Society for Public Health Education"
"Health Educ Res","Education","Health education research"
"Health Estate","Health Services","Health estate"
"Health Expect","Health Services Research","Health expectations : an international journal of public participation in health care and health policy"
"Health Facil Manage","Health Services","Health facilities management"
"Health Hum Rights","Public Health","Health and human rights"
"Health Info Libr","Medicine","Health information and libraries journal"
"Health Informatics","Medical Informatics","Health informatics journal"
"Health Law Can","Jurisprudence","Health law in Canada"
"Health Manag Technol","Medical Informatics","Health management technology"
"Health Mark","Health Services","Health marketing quarterly"
"Health Matrix Clevel","Jurisprudence","Health matrix (Cleveland, Ohio : 1991)"
"Health News","Medicine","Health news (Waltham, Mass.)"
"Health Phys","Medicine","Health physics"
"Health Place","Public Health","Health &place"
"Health Policy","Medicine","Health policy (Amsterdam, Netherlands)"
"Health Policy Plan","Public Health","Health policy and planning"
"Health Prog","Hospitals","Health progress (Saint Louis, Mo.)"
"Health Promot Int","Public Health","Health promotion international"
"Health Promot J Austr","Public Health","Health promotion journal of Australia : official journal of Australian Association of Health Promotion Professionals"
"Health Promot Pract","Public Health","Health promotion practice"
"Health Psychol","Psychology","Health psychology : official journal of the Division of Health Psychology, American Psychological Association"
"Health Qual Life Outcomes","Public Health","Health and quality of life outcomes"
"Health Rep","Vital Statistics","Health reports"
"Health Res Policy Syst","Health Services Research","Health research policy and systems / BioMed Central"
"Health Serv","Health Services Research","The Health service journal"
"Health Serv","Health Services Research","Health services journal"
"Health Serv Manage Res","Health Services Research","Health services management research"
"Health Serv Res","Health Services Research","Health services research"
"Health Soc Care Community","Medicine","Health &social care in the community"
"Health Soc Work","Social Sciences","Health &social work"
"Health Stat","Medicine","Health statistics quarterly / Office for National Statistics"
"Health Technol Assess","Medicine","Health technology assessment (Winchester, England)"
"Healthc (Amst)","Health Services","Healthcare (Amsterdam, Netherlands)"
"Healthc Exec","Medicine","Healthcare executive"
"Healthc Financ Manage","Medicine","Healthcare financial management : journal of the Healthcare Financial Management Association"
"Healthc Inform","Medicine","Healthcare informatics : the business magazine for information and communication systems"
"Healthc Manage Forum","Medicine","Healthcare management forum / Canadian College of Health Service Executives = Forum gestion des soins de santé / Collège canadien des directeurs de services de santé"
"Healthc Pap","Health Services","HealthcarePapers"
"Healthc Policy","Public Health","Healthcare policy = Politiques de santé"
"Healthc","Medicine","Healthcare quarterly (Toronto, Ont.)"
"Healthplan","Health Services","Healthplan"
"Hear Res","Audiology","Hearing research"
"Heart","Cardiology","Heart (British Cardiac Society)"
"Heart Dis","Cardiology","Heart disease (Hagerstown, Md.)"
"Heart Fail Clin","Cardiology","Heart failure clinics"
"Heart Fail Rev","Cardiology","Heart failure reviews"
"Heart Lung","Cardiology","Heart &lung : the journal of critical care"
"Heart Lung Circ","Cardiology","Heart, lung &circulation"
"Heart Rhythm","Cardiology","Heart rhythm : the official journal of the Heart Rhythm Society"
"Heart Surg Forum","General Surgery","The heart surgery forum"
"Heart Vessels","Cardiology","Heart and vessels"
"HEC Forum","Ethics","HEC forum : an interdisciplinary journal on hospitals' ethical and legal issues"
"Helicobacter","Microbiology","Helicobacter"
"Hell J Nucl Med","Medicine","Hellenic journal of nuclear medicine"
"Hellenic J Cardiol","Cardiology","Hellenic journal of cardiology : HJC = Hellēnikē kardiologikē epitheōrēsē"
"Hematol Oncol","Neoplasms","Hematological oncology"
"Hematol Oncol Clin North Am","Neoplasms","Hematology/oncology clinics of North America"
"Hematol Oncol Stem Cell Ther","Cell Biology","Hematology/oncology and stem cell therapy"
"Hematology","Hematology","Hematology (Amsterdam, Netherlands)"
"Hematology Am Soc Hematol Educ Program","Hematology","Hematology / the Education Program of the American Society of Hematology. American Society of Hematology. Education Program"
"Hemodial Int","Unclassified","Hemodialysis international. International Symposium on Home Hemodialysis"
"Hemoglobin","Hematology","Hemoglobin"
"Hepatogastroenterology","Gastroenterology","Hepato-gastroenterology"
"Hepatol Int","Gastroenterology","Hepatology international"
"Hepatology","Gastroenterology","Hepatology (Baltimore, Md.)"
"HERD","Health Services","HERD"
"Hereditas","Genetics","Hereditas"
"Hernia","Unclassified","Hernia : the journal of hernias and abdominal wall surgery"
"Herpes","Virology","Herpes : the journal of the IHMF"
"Herz","Cardiology","Herz"
"Herzschrittmacherther Elektrophysiol","Unclassified","Herzschrittmachertherapie &Elektrophysiologie"
"High Alt Med Biol","Medicine","High altitude medicine &biology"
"High Blood Press Cardiovasc Prev","Cardiology","High blood pressure &cardiovascular prevention : the official journal of the Italian Society of Hypertension"
"HIM","Medical Informatics","The HIM journal"
"Hinyokika Kiyo","Urology","Hinyokika kiyo. Acta urologica Japonica"
"Hip Int","Orthopedics","Hip international : the journal of clinical and experimental research on hip pathology and therapy"
"Hippocampus","Brain","Hippocampus"
"Hiroshima J Med Sci","Medicine","Hiroshima journal of medical sciences"
"Hist Cienc Saude Manguinhos","Medicine","História, ciências, saúde--Manguinhos"
"Hist Philos Life Sci","Unclassified","History and philosophy of the life sciences"
